SampleID,Rep,DateStart,RichLevel,Inhibitory,qPCR_bact_log10,CV_log10,Richness,inhibRich,inhibRichFrac,inhibProp,inhibReads,shannon,qPCR_bact_log10_inhib,Inhib,inhibProp_raw,inhibRichFrac_raw,Bd_micro_log10,Bd_qPCR_log10,Centre_qPCR_bact_log10,Centre_CV_log10,Centre_Richness,Centre_inhibRich,Centre_inhibRichFrac,Centre_inhibProp,Centre_inhibReads,Centre_shannon,Centre_qPCR_bact_log10_inhib
Inhib_2020-09-07_1_Rep4,Rep4,2020-09-07,1,1,-0.5445348661,-0.5851176415,-1.297297297,0.3108108108,0.7459459459,0.7268431843,0.7093938789,-0.4945882851,0.2102793159,1,1,1,0.8215295192,2.352595707,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-07_3_Rep4,Rep4,2020-09-07,3,1,-0.3627529176,0.06380410992,-0.2972972973,1.310810811,0.7459459459,0.7268431843,0.728820301,-0.07586838668,0.2145330301,1,1,1,2.021072816,3.474661287,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-07_1_Rep4,Rep4,2020-09-07,1,0,0.5766811066,-0.2751180068,-0.2972972973,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.3636802063,-0.08500091972,0,0,0,1.925969807,2.619020684,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-07_3_Rep4,Rep4,2020-09-07,3,0,1.097453601,-0.4295636419,-0.2972972973,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.2931304531,-0.08500091972,0,0,0,1.976291559,2.285519833,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-07_10_Rep4,Rep4,2020-09-07,10,0,0.8414201831,0.4777498677,-0.2972972973,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.1913374208,-0.08500091972,0,0,0,2.499501093,2.539417835,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-14_0_Rep5,Rep5,2020-09-14,0,0,-2.353848269,-1.107271959,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,1.180585811,2.843538684,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-14_1_Rep5,Rep5,2020-09-14,1,1,-0.01456023132,-0.411693005,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,1.988959503,2.775547602,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-14_3_Rep5,Rep5,2020-09-14,3,1,0.414227734,0.5610621791,-0.2972972973,0.3108108108,0.2459459459,0.3925539468,0.3936538923,0.0681265618,0.1345720544,1,0.6657107625,0.5,1.114316934,2.561783635,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-14_10_Rep5,Rep5,2020-09-14,10,1,0.8741166393,0.9464252443,2.702702703,1.310810811,0.1459459459,0.02126243684,0.02855492637,0.6701638213,0.02654954874,1,0.2944192525,0.4,0,1.803871871,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-14_1_Rep5,Rep5,2020-09-14,1,0,0.1240295289,-0.7045330672,0.7027027027,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.4544770591,-0.08500091972,0,0,0,2.361112837,2.598177836,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
